Rule	support	confidence
product34 -> product17	0.6%	7.69%
product34 -> product32	0.6%	7.69%
product34 -> product43, product24	0.6%	7.69%
product38 -> product30	0.5%	7.69%
product38 -> product43	0.5%	7.69%
product38 -> product44	0.5%	7.69%
product38 -> product50	0.5%	7.69%
product13 -> product45	0.6%	7.59%
product25 -> product14	0.5%	7.58%
product25 -> product15	0.5%	7.58%
product41 -> product19	0.5%	7.58%
product25 -> product28	0.5%	7.58%
product25 -> product32	0.5%	7.58%
product25 -> product40	0.5%	7.58%
product25 -> product47	0.5%	7.58%
product8 -> product6	0.7%	7.53%
product46 -> product29	0.7%	7.45%
product46 -> product40	0.7%	7.45%
product23 -> product8	0.8%	7.41%
product23 -> product9	0.8%	7.41%
product23 -> product43	0.8%	7.41%
product23 -> product47	0.8%	7.41%
product17 -> product6	0.6%	7.41%
product17 -> product18	0.6%	7.41%
product17 -> product19	0.6%	7.41%
product17 -> product21	0.6%	7.41%
product17 -> product27	0.6%	7.41%
product17 -> product34	0.6%	7.41%
product17 -> product50	0.6%	7.41%
product15 -> product2	0.7%	7.37%
product15 -> product12	0.7%	7.37%
product15 -> product32	0.7%	7.37%
product15 -> product47	0.7%	7.37%
product12 -> product2	0.5%	7.35%
product12 -> product24	0.5%	7.35%
product12 -> product44	0.5%	7.35%
product24 -> product2	0.6%	7.32%
product43 -> product2	0.6%	7.32%
product24 -> product6	0.6%	7.32%
product24 -> product8	0.6%	7.32%
product43 -> product14	0.6%	7.32%
product24 -> product15	0.6%	7.32%
product24 -> product22	0.6%	7.32%
product24 -> product47	0.6%	7.32%
product43 -> product29	0.6%	7.32%
product43 -> product37	0.6%	7.32%
product43 -> product45	0.6%	7.32%
product43 -> product34, product24	0.6%	7.32%
product24 -> product43, product34	0.6%	7.32%
product19 -> product1	0.6%	7.14%
product1 -> product19	0.6%	7.14%
product1 -> product23	0.6%	7.14%
product19 -> product5	0.6%	7.14%
product19 -> product17	0.6%	7.14%
product37 -> product43	0.6%	7.14%
product37 -> product47	0.6%	7.14%
product2 -> product6	0.6%	7.06%
product2 -> product24	0.6%	7.06%
product2 -> product30	0.6%	7.06%
product2 -> product43	0.6%	7.06%
product47 -> product6	0.6%	7.06%
product47 -> product24	0.6%	7.06%
product47 -> product36	0.6%	7.06%
product47 -> product37	0.6%	7.06%
product47 -> product44	0.6%	7.06%
product42 -> product2	0.5%	6.94%
product3 -> product5	0.5%	6.94%
product3 -> product24	0.5%	6.94%
product42 -> product10	0.5%	6.94%
product42 -> product15	0.5%	6.94%
product42 -> product19	0.5%	6.94%
product42 -> product37	0.5%	6.94%
product42 -> product47	0.5%	6.94%
product29 -> product1	0.7%	6.86%
product29 -> product10	0.7%	6.86%
product29 -> product14	0.7%	6.86%
product29 -> product20	0.7%	6.86%
product29 -> product27	0.7%	6.86%
product29 -> product34	0.7%	6.86%
product29 -> product40	0.7%	6.86%
product29 -> product46	0.7%	6.86%
product29 -> product48	0.7%	6.86%
product16 -> product2	0.5%	6.85%
product16 -> product17	0.5%	6.85%
product16 -> product19	0.5%	6.85%
product16 -> product22	0.5%	6.85%
product16 -> product27	0.5%	6.85%
product16 -> product28	0.5%	6.85%
product16 -> product29	0.5%	6.85%
product16 -> product34	0.5%	6.85%
product16 -> product35	0.5%	6.85%
product6 -> product8	0.7%	6.8%
product6 -> product31	0.7%	6.8%
product6 -> product36	0.7%	6.8%
product6 -> product40	0.7%	6.8%
product48 -> product6	0.5%	6.76%
product48 -> product9	0.5%	6.76%
product48 -> product13	0.5%	6.76%
product48 -> product24	0.5%	6.76%
product48 -> product27	0.5%	6.76%
product48 -> product43	0.5%	6.76%
product48 -> product46	0.5%	6.76%
product10 -> product6	0.6%	6.67%
product28 -> product8	0.6%	6.67%
product10 -> product12	0.6%	6.67%
product10 -> product15	0.6%	6.67%
product10 -> product28	0.6%	6.67%
product28 -> product10	0.6%	6.67%
product28 -> product22	0.6%	6.67%
product28 -> product35	0.6%	6.67%
product28 -> product40	0.6%	6.67%
product28 -> product29, product14	0.6%	6.67%
product36 -> product1	0.5%	6.67%
product36 -> product20	0.5%	6.67%
product36 -> product34	0.5%	6.67%
product5 -> product4	0.6%	6.59%
product5 -> product6	0.6%	6.59%
product5 -> product8	0.6%	6.59%
product5 -> product19	0.6%	6.59%
product5 -> product34	0.6%	6.59%
product5 -> product49	0.6%	6.59%
product32 -> product34	0.6%	6.59%
product32 -> product42	0.6%	6.59%
product32 -> product23, product6	0.6%	6.59%
product20 -> product1	0.5%	6.58%
product33 -> product1	0.5%	6.58%
product33 -> product5	0.5%	6.58%
product20 -> product24	0.5%	6.58%
product20 -> product28	0.5%	6.58%
product20 -> product33	0.5%	6.58%
product33 -> product20	0.5%	6.58%
product20 -> product34	0.5%	6.58%
product20 -> product36	0.5%	6.58%
product20 -> product44	0.5%	6.58%
product20 -> product47	0.5%	6.58%
product33 -> product21	0.5%	6.58%
product33 -> product28	0.5%	6.58%
product33 -> product37	0.5%	6.58%
product33 -> product43	0.5%	6.58%
product33 -> product49	0.5%	6.58%
product20 -> product45, product2	0.5%	6.58%
product45 -> product5	0.5%	6.49%
product45 -> product6	0.5%	6.49%
product45 -> product11	0.5%	6.49%
product49 -> product15	0.5%	6.49%
product49 -> product17	0.5%	6.49%
product45 -> product21	0.5%	6.49%
product45 -> product23	0.5%	6.49%
product49 -> product27	0.5%	6.49%
product49 -> product28	0.5%	6.49%
product45 -> product30	0.5%	6.49%
product45 -> product31	0.5%	6.49%
product49 -> product33	0.5%	6.49%
product45 -> product34	0.5%	6.49%
product45 -> product35	0.5%	6.49%
product45 -> product37	0.5%	6.49%
product49 -> product39	0.5%	6.49%
product45 -> product40	0.5%	6.49%
product45 -> product2, product20	0.5%	6.49%
product23 -> product3	0.7%	6.48%
product23 -> product7	0.7%	6.48%
product23 -> product10	0.7%	6.48%
product23 -> product34	0.7%	6.48%
product23 -> product40	0.7%	6.48%
product23 -> product48	0.7%	6.48%
product8 -> product5	0.6%	6.45%
product8 -> product24	0.6%	6.45%
product8 -> product28	0.6%	6.45%
product8 -> product30	0.6%	6.45%
product8 -> product31	0.6%	6.45%
product4 -> product10	0.5%	6.41%
product4 -> product43	0.5%	6.41%
product4 -> product46	0.5%	6.41%
product34 -> product7	0.5%	6.41%
product34 -> product14	0.5%	6.41%
product34 -> product16	0.5%	6.41%
product34 -> product20	0.5%	6.41%
product34 -> product22	0.5%	6.41%
product34 -> product28	0.5%	6.41%
product34 -> product36	0.5%	6.41%
product34 -> product45	0.5%	6.41%
product34 -> product46	0.5%	6.41%
product34 -> product10, product5	0.5%	6.41%
product46 -> product21	0.6%	6.38%
product13 -> product6	0.5%	6.33%
product13 -> product17	0.5%	6.33%
product13 -> product35	0.5%	6.33%
product13 -> product47	0.5%	6.33%
product13 -> product48	0.5%	6.33%
product13 -> product50	0.5%	6.33%
product15 -> product4	0.6%	6.32%
product15 -> product10	0.6%	6.32%
product15 -> product11	0.6%	6.32%
product15 -> product21	0.6%	6.32%
product15 -> product22	0.6%	6.32%
product15 -> product24	0.6%	6.32%
product15 -> product30	0.6%	6.32%
product15 -> product36	0.6%	6.32%
product15 -> product48	0.6%	6.32%
product17 -> product2	0.5%	6.17%
product17 -> product7	0.5%	6.17%
product17 -> product11	0.5%	6.17%
product17 -> product13	0.5%	6.17%
product17 -> product15	0.5%	6.17%
product17 -> product16	0.5%	6.17%
product17 -> product43	0.5%	6.17%
product17 -> product49	0.5%	6.17%
product24 -> product3	0.5%	6.1%
product43 -> product4	0.5%	6.1%
product43 -> product9	0.5%	6.1%
product24 -> product12	0.5%	6.1%
product43 -> product17	0.5%	6.1%
product24 -> product20	0.5%	6.1%
product43 -> product21	0.5%	6.1%
product24 -> product23	0.5%	6.1%
product24 -> product29	0.5%	6.1%
product24 -> product46	0.5%	6.1%
product24 -> product48	0.5%	6.1%
product43 -> product33	0.5%	6.1%
product43 -> product38	0.5%	6.1%
product43 -> product40	0.5%	6.1%
product43 -> product46	0.5%	6.1%
product43 -> product48	0.5%	6.1%
product1 -> product7	0.5%	5.95%
product1 -> product20	0.5%	5.95%
product1 -> product21	0.5%	5.95%
product1 -> product27	0.5%	5.95%
product1 -> product33	0.5%	5.95%
product1 -> product36	0.5%	5.95%
product19 -> product2	0.5%	5.95%
product19 -> product6	0.5%	5.95%
product19 -> product9	0.5%	5.95%
product37 -> product15	0.5%	5.95%
product19 -> product16	0.5%	5.95%
product19 -> product23	0.5%	5.95%
product19 -> product40	0.5%	5.95%
product19 -> product41	0.5%	5.95%
product19 -> product42	0.5%	5.95%
product37 -> product27	0.5%	5.95%
product37 -> product33	0.5%	5.95%
product37 -> product42	0.5%	5.95%
product37 -> product45	0.5%	5.95%
product29 -> product3	0.6%	5.88%
product29 -> product7	0.6%	5.88%
product29 -> product42	0.6%	5.88%
product29 -> product43	0.6%	5.88%
product29 -> product44	0.6%	5.88%
product29 -> product14, product28	0.6%	5.88%
product2 -> product12	0.5%	5.88%
product2 -> product14	0.5%	5.88%
product2 -> product16	0.5%	5.88%
product2 -> product17	0.5%	5.88%
product2 -> product19	0.5%	5.88%
product2 -> product27	0.5%	5.88%
product2 -> product29	0.5%	5.88%
product2 -> product31	0.5%	5.88%
product2 -> product42	0.5%	5.88%
product2 -> product47	0.5%	5.88%
product47 -> product2	0.5%	5.88%
product47 -> product13	0.5%	5.88%
product47 -> product14	0.5%	5.88%
product47 -> product20	0.5%	5.88%
product47 -> product21	0.5%	5.88%
product47 -> product25	0.5%	5.88%
product47 -> product28	0.5%	5.88%
product47 -> product31	0.5%	5.88%
product47 -> product40	0.5%	5.88%
product47 -> product42	0.5%	5.88%
product2 -> product45, product20	0.5%	5.88%
product6 -> product2	0.6%	5.83%
product6 -> product5	0.6%	5.83%
product6 -> product10	0.6%	5.83%
product6 -> product17	0.6%	5.83%
product6 -> product20	0.6%	5.83%
product6 -> product22	0.6%	5.83%
product6 -> product24	0.6%	5.83%
product6 -> product27	0.6%	5.83%
product6 -> product33	0.6%	5.83%
product6 -> product44	0.6%	5.83%
product6 -> product47	0.6%	5.83%
product6 -> product49	0.6%	5.83%
product6 -> product23, product32	0.6%	5.83%
product23 -> product1	0.6%	5.56%
product23 -> product4	0.6%	5.56%
product23 -> product11	0.6%	5.56%
product23 -> product16	0.6%	5.56%
product23 -> product36	0.6%	5.56%
product23 -> product49	0.6%	5.56%
product23 -> product32, product6	0.6%	5.56%
product10 -> product4	0.5%	5.56%
product28 -> product6	0.5%	5.56%
product10 -> product7	0.5%	5.56%
product10 -> product18	0.5%	5.56%
product10 -> product22	0.5%	5.56%
product10 -> product40	0.5%	5.56%
product10 -> product42	0.5%	5.56%
product10 -> product44	0.5%	5.56%
product28 -> product16	0.5%	5.56%
product28 -> product20	0.5%	5.56%
product28 -> product23	0.5%	5.56%
product28 -> product25	0.5%	5.56%
product28 -> product26	0.5%	5.56%
product28 -> product33	0.5%	5.56%
product28 -> product34	0.5%	5.56%
product28 -> product47	0.5%	5.56%
product28 -> product49	0.5%	5.56%
product10 -> product34, product5	0.5%	5.56%
product5 -> product3	0.5%	5.49%
product5 -> product18	0.5%	5.49%
product5 -> product29	0.5%	5.49%
product32 -> product5	0.5%	5.49%
product5 -> product32	0.5%	5.49%
product5 -> product33	0.5%	5.49%
product5 -> product44	0.5%	5.49%
product5 -> product45	0.5%	5.49%
product32 -> product22	0.5%	5.49%
product32 -> product25	0.5%	5.49%
product32 -> product27	0.5%	5.49%
product32 -> product29	0.5%	5.49%
product32 -> product31	0.5%	5.49%
product32 -> product40	0.5%	5.49%
product5 -> product34, product10	0.5%	5.49%
product8 -> product21	0.5%	5.38%
product8 -> product22	0.5%	5.38%
product8 -> product44	0.5%	5.38%
product46 -> product4	0.5%	5.32%
product46 -> product14	0.5%	5.32%
product46 -> product24	0.5%	5.32%
product46 -> product27	0.5%	5.32%
product46 -> product34	0.5%	5.32%
product46 -> product43	0.5%	5.32%
product46 -> product48	0.5%	5.32%
product15 -> product9	0.5%	5.26%
product15 -> product14	0.5%	5.26%
product15 -> product17	0.5%	5.26%
product15 -> product25	0.5%	5.26%
product15 -> product37	0.5%	5.26%
product15 -> product42	0.5%	5.26%
product15 -> product44	0.5%	5.26%
product15 -> product49	0.5%	5.26%
product15 -> product23, product6	0.5%	5.26%
product29 -> product2	0.5%	4.9%
product29 -> product5	0.5%	4.9%
product29 -> product16	0.5%	4.9%
product29 -> product22	0.5%	4.9%
product29 -> product24	0.5%	4.9%
product29 -> product32	0.5%	4.9%
product29 -> product50	0.5%	4.9%
product6 -> product11	0.5%	4.85%
product6 -> product13	0.5%	4.85%
product6 -> product14	0.5%	4.85%
product6 -> product19	0.5%	4.85%
product6 -> product28	0.5%	4.85%
product6 -> product45	0.5%	4.85%
product6 -> product48	0.5%	4.85%
product6 -> product23, product15	0.5%	4.85%
product23 -> product14	0.5%	4.63%
product23 -> product19	0.5%	4.63%
product23 -> product21	0.5%	4.63%
product23 -> product24	0.5%	4.63%
product23 -> product28	0.5%	4.63%
product23 -> product44	0.5%	4.63%
product23 -> product45	0.5%	4.63%
product23 -> product6, product15	0.5%	4.63%
